Country Name,Year,Exports,FDI,GDP,Imports,Tariff_Rate,Trade_Balance,GDP_bil,FDI_bil,TB_bil
South Africa,1978,14670549987.243,,51607412901.8532,11625349989.891,,3045199997.3519993,51.6074129018532,,3.0451999973519994
South Africa,1979,19719170174.3076,,63038658088.9121,14440164036.6119,,5279006137.695698,63.0386580889121,,5.279006137695697
South Africa,1980,28501651956.2234,,89411864402.4272,22143223376.0554,,6358428580.167999,89.4118644024272,,6.358428580167999
South Africa,1981,23621057036.358,,93141472163.7596,25124726524.4752,,-1503669488.117199,93.1414721637596,,-1.503669488117199
South Africa,1982,20081946595.1331,,85904057409.3585,20496454037.619,,-414507442.4859009,85.9040574093585,,-0.4145074424859009
South Africa,1983,20979586793.132,,96204110941.5672,17747389642.9781,,3232197150.1539,96.2041109415672,,3.2321971501539
South Africa,1984,19302453655.9364,,84870163365.9306,18004917183.8526,,1297536472.0838013,84.87016336593061,,1.2975364720838012
South Africa,1985,18030792412.1543,500000438.445895,64459376086.6883,12996665570.1806,,5034126841.9737015,64.4593760866883,0.500000438445895,5.034126841973701
South Africa,1986,19959939848.3875,121467409.701876,73354771399.2627,14196427482.8093,,5763512365.578201,73.3547713992627,0.121467409701876,5.763512365578201
South Africa,1987,25978095715.3321,303792686.65083,96535763418.3729,17475255536.4969,,8502840178.835201,96.5357634183729,0.30379268665083,8.502840178835202
South Africa,1988,26798100048.2563,-93871059.9258119,103976831870.957,20821048275.2016,13.39,5977051773.054703,103.976831870957,-0.0938710599258119,5.977051773054702
South Africa,1989,25591574580.9092,363907985.45832,108055624081.806,20509020038.1768,,5082554542.732399,108.055624081806,0.36390798545832004,5.082554542732399
South Africa,1990,27160238991.0116,103696633.380641,126048140141.869,21017054277.4203,10.5,6143184713.591301,126.048140141869,0.103696633380641,6.143184713591301
South Africa,1991,26126023104.4514,-47695824.1595891,135203698237.977,21002216674.4218,11.32,5123806430.029602,135.203698237977,-0.0476958241595891,5.123806430029602
South Africa,1992,27893270926.0938,1935669470.17098,146956150986.636,22606812361.9438,,5286458564.149998,146.95615098663598,1.93566947017098,5.2864585641499975
South Africa,1993,29294867480.1148,280623702.514129,147194747565.75,23192799452.5558,13.45,6102068027.558998,147.19474756575,0.280623702514129,6.102068027558998
South Africa,1994,30001242104.1358,886096104.003104,153512712381.836,26940565247.088,,3060676857.047798,153.512712381836,0.886096104003104,3.060676857047798
