Series Name,Series Code,Country Name,Country Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,1404092925205.45,1778162195860.07,1875792575132.59,2141377582968.07,2078954217437.6,2215282632276.73,2593053091306.13,2506576553158.31,2218790886532.82,2247760364565.97,2213873468586.88,1966980701145.1,1966381496641.73,2102350798305.89,2534715518349.01,2852317768061.78,2893393187361.87,3046308753670.58,3484056680854.91,3808786022312.5,3479800820863.28,3468154343000.01,3824828563521.41,3597896500945.31,3808086291482.36,3965800686309.79,3423568450957.03,3537784107980.55,3763092263752.95,4052008447223.53,3957208055215.68,3940142541354.1,4348297440387.53,4163596357879.39,4525703903627.53
GDP (current US$),NY.GDP.MKTP.CD,India,IND,296042052944.66,320979026420.035,270105341879.226,288208070278.013,279295648982.529,327274843459.429,360281909643.489,392896866204.516,415867563592.829,421351317224.941,458821052615.79,468395521654.458,485440139204.171,514939140318.756,607700687237.318,709152728830.775,820383763511.445,940259888787.721,1216736438834.96,1198895139005.92,1341888016994.9,1675615519484.96,1823051829894.55,1827637590410.41,1856721507621.58,2039126479154.52,2103588360044.94,2294796885663.16,2651474262755.45,2702929641648.74,2835606256558.19,2674851578587.27,3167270623260.47,3353470496886.33,3567551674623.01
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,52349172911.65,61905208272.8464,70871081524.7686,79314801236.3003,79712276313.6525,90576930828.5411,105307707634.576,114866706144.061,119246040470.807,120358023999.368,121166507717.951,136225025139.185,134620909004.446,125055466461.227,131314894271.096,139899274431.058,147103301914.121,158722866825.261,184068518293.128,220552442865.106,212453641380.363,238912622309.59,267406179630.431,262917911696.944,297634145181.876,314090281098.682,302722655203.465,320958936788.842,357227098125.658,375149611117.199,399651065197.871,411728563086.632,489708278893.053,525000415276.678,513611100815.691
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,930801709003.669,1183945130898.51,1249092439519.28,1323204350353.5,1067412587670.73,1101750159702.21,1177369428265.78,1314776508972.27,1244988176443.84,1272729786996.77,1255004736463.98,1149661363439.38,1172041488805.87,1281746271196.04,1582930016538.82,1812808753294.75,1864982261286.85,1958563654385.64,2222524108127.65,2417508414187.19,2209484319012.65,2144936254535,2306974020278.21,2097929495121.68,2153225581941.46,2173255507985.84,1845428048839.1,1887111188176.93,1970720904584.71,2099435266458.67,2019606796583.53,1907481094079.23,2179207773596.09,2102995942720.44,2300941152991.81
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3109455047823.93,3185904656663.85,3648065760648.88,3980702922117.66,4536940479038.25,4998797547740.97,5545563663889.7,4923391533851.63,4492448605638.94,4098362709531.24,4635982224063.88,4968359075956.59,4374711694090.87,4182846045873.61,4519561645253.53,4893116005656.56,4831467035389.8,4601663122649.92,4579750920354.81,5106679115127.3,5289493117993.89,5759071769013.11,6233147172341.35,6272362996105.03,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5040880939324.86,5117993853016.51,5055587093501.59,5034620784584.98,4256410760723.75,4204494802431.55
GDP (current US$),NY.GDP.MKTP.CD,Turkiye,TUR,107127191328.935,150655500191.644,151034731543.624,159104772991.851,180415757851.616,130650447499.071,169319579016.25,181464408820.097,189878399894.643,275941990764.18,256395932738.435,274294623164.043,201753123806.695,240249071871.106,314595572145.767,408865430220.331,506314717661.655,557076157773.479,681321124295.914,770449132861.373,649289324627.732,776967266305.53,838785289694.35,880555885492.269,957799120008.32,938934609296.966,864313810469.009,869682881593.041,858988492853.742,778972108040.602,761005915750.925,720338490327.248,819865223976.115,907118434653.505,1118252964260.77
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,41464995913.9199,50701443748.2975,51552165622.4462,54239171887.769,55625170253.337,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,300189052694.029,360832739558.385,384610125384.033,400218529747.597,414105366758.911,370275469560.166,369255326235.771,390516804016.501,427049432149.345,417989721734.494,349473015336.939,415178792769.884,502731935197.487,514130432653.081
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1344240176739.78,1419645865834.63,1560911918795.02,1653694932096.72,1687830448147.55,1665534876683.31,1649827263567.01,1785729916067.15,2054422857142.86,2421525082387.4,2543180000000,2708441582336.71,3090510204081.63,2929411764705.88,2412840006231.5,2485482596184.71,2663805834828.07,2707089726614.64,2784853502534.29,3064708247921.43,2927911140916.73,2689106566899.61,2680148052335.3,2871340347581.79,2851407164907.81,2696778386607.65,3143323050707.26,3114042471144.39,3380854520809.54
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,5641580000000,5963144000000,6158129000000,6520327000000,6858559000000,7287236000000,7639749000000,8073122000000,8577552000000,9062817000000,9631172000000,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804913000000,19612102000000,20656516000000,21539982000000,21354105000000,23681171000000,26006893000000,27720709000000
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,246928837311.406,283365844161.092,330647042837.334,355524903068.056,392665710525.411,463619823515.164,566581003128.204,610167053824.007,569755022973.035,383331833681.821,497514040642.262,576179387819.613,547656279894.587,627246933729.618,702714855193.904,793175561887.027,934901071332.984,1053216909887.56,1172614086539.86,1047339010225.25,943941876218.743,1143672241149.72,1253289537500.81,1278046536287.01,1370632955321.2,1484488526271.8,1466038936206.43,1499679823909.61,1623074183501.9,1725373496825.43,1651422932447.77,1644312831906.17,1818432106880.04,1673916511799.71,1712792854202.37
